employee_id,month,department,working_days,absence_days,late_days
EMP-0018,2025-07-01,Sales,21,0,1
EMP-0018,2025-08-01,Sales,20,0,1
EMP-0018,2025-09-01,Sales,23,1,1
EMP-0018,2025-10-01,Sales,21,1,0
EMP-0018,2025-11-01,Sales,23,0,1
EMP-0018,2025-12-01,Sales,23,0,2
EMP-0019,2025-07-01,Operations,20,2,1
EMP-0019,2025-08-01,Operations,21,1,0
EMP-0019,2025-09-01,Operations,22,1,0
EMP-0020,2025-03-01,Finance,20,0,3
EMP-0020,2025-04-01,Finance,20,0,2
EMP-0020,2025-05-01,Finance,22,1,0
EMP-0020,2025-06-01,Finance,23,0,0
EMP-0021,2025-01-01,IT & Data,21,0,2
EMP-0021,2025-02-01,IT & Data,23,0,0
EMP-0021,2025-03-01,IT & Data,20,1,1
EMP-0021,2025-04-01,IT & Data,22,0,0
EMP-0021,2025-05-01,IT & Data,22,0,0
EMP-0021,2025-06-01,IT & Data,21,0,1
EMP-0021,2025-07-01,IT & Data,21,0,0
EMP-0021,2025-08-01,IT & Data,21,0,0
EMP-0021,2025-09-01,IT & Data,20,1,0
EMP-0021,2025-10-01,IT & Data,20,1,1
EMP-0021,2025-11-01,IT & Data,23,0,0
EMP-0021,2025-12-01,IT & Data,20,0,0
EMP-0022,2025-05-01,Customer Service,23,0,1
EMP-0022,2025-06-01,Customer Service,22,0,1
EMP-0022,2025-07-01,Customer Service,20,0,3
EMP-0022,2025-08-01,Customer Service,20,1,0
EMP-0022,2025-09-01,Customer Service,21,1,2
EMP-0022,2025-10-01,Customer Service,23,0,1
EMP-0022,2025-11-01,Customer Service,23,0,1
EMP-0022,2025-12-01,Customer Service,20,1,1
EMP-0023,2024-10-01,IT & Data,22,1,0
EMP-0023,2024-11-01,IT & Data,23,0,0
EMP-0023,2024-12-01,IT & Data,21,0,0
EMP-0023,2025-01-01,IT & Data,22,0,0
EMP-0023,2025-02-01,IT & Data,20,2,1
EMP-0023,2025-03-01,IT & Data,21,1,2
EMP-0023,2025-04-01,IT & Data,20,0,1
EMP-0023,2025-05-01,IT & Data,20,0,1
EMP-0023,2025-06-01,IT & Data,23,0,1
EMP-0023,2025-07-01,IT & Data,23,0,1
EMP-0023,2025-08-01,IT & Data,21,0,0
EMP-0023,2025-09-01,IT & Data,22,1,0
EMP-0023,2025-10-01,IT & Data,20,0,1
EMP-0023,2025-11-01,IT & Data,23,0,2
EMP-0024,2025-05-01,IT & Data,20,0,1
EMP-0024,2025-06-01,IT & Data,23,0,1
EMP-0024,2025-07-01,IT & Data,23,2,0
EMP-0024,2025-08-01,IT & Data,23,0,1
EMP-0024,2025-09-01,IT & Data,23,0,0
EMP-0024,2025-10-01,IT & Data,21,0,0
EMP-0024,2025-11-01,IT & Data,22,0,4
EMP-0024,2025-12-01,IT & Data,22,0,1
EMP-0025,2024-11-01,Marketing,22,1,1
EMP-0025,2024-12-01,Marketing,22,0,0
EMP-0025,2025-01-01,Marketing,20,1,1
EMP-0025,2025-02-01,Marketing,22,0,1
EMP-0025,2025-03-01,Marketing,20,0,1
EMP-0025,2025-04-01,Marketing,23,0,1
EMP-0025,2025-05-01,Marketing,22,0,0
EMP-0025,2025-06-01,Marketing,21,0,2
EMP-0025,2025-07-01,Marketing,22,1,2
EMP-0025,2025-08-01,Marketing,22,1,1
EMP-0025,2025-09-01,Marketing,21,1,0
EMP-0025,2025-10-01,Marketing,22,1,1
EMP-0025,2025-11-01,Marketing,22,0,1
EMP-0025,2025-12-01,Marketing,21,0,0
EMP-0026,2025-05-01,Sales,20,0,2
EMP-0026,2025-06-01,Sales,22,0,1
EMP-0026,2025-07-01,Sales,22,2,0
EMP-0027,2025-10-01,Sales,23,2,1
EMP-0027,2025-11-01,Sales,22,0,2
EMP-0027,2025-12-01,Sales,23,0,1
EMP-0028,2025-07-01,Finance,20,1,2
EMP-0028,2025-08-01,Finance,23,1,2
EMP-0028,2025-09-01,Finance,20,1,1
EMP-0028,2025-10-01,Finance,21,0,0
EMP-0028,2025-11-01,Finance,23,1,3
EMP-0028,2025-12-01,Finance,23,0,1
EMP-0029,2025-05-01,Operations,20,2,0
EMP-0029,2025-06-01,Operations,23,4,3
EMP-0029,2025-07-01,Operations,21,1,3
EMP-0029,2025-08-01,Operations,23,1,1
EMP-0029,2025-09-01,Operations,20,1,0
EMP-0029,2025-10-01,Operations,21,1,2
EMP-0029,2025-11-01,Operations,22,2,0
EMP-0029,2025-12-01,Operations,21,2,2
EMP-0030,2024-06-01,Sales,22,0,1
EMP-0030,2024-07-01,Sales,20,1,2
EMP-0030,2024-08-01,Sales,23,0,1
EMP-0030,2024-09-01,Sales,23,0,1
EMP-0030,2024-10-01,Sales,21,1,1
EMP-0030,2024-11-01,Sales,21,1,0
EMP-0030,2024-12-01,Sales,21,1,1
EMP-0030,2025-01-01,Sales,21,1,0
EMP-0030,2025-02-01,Sales,22,1,1
EMP-0030,2025-03-01,Sales,21,0,0
EMP-0030,2025-04-01,Sales,20,1,3
EMP-0030,2025-05-01,Sales,20,0,2
EMP-0030,2025-06-01,Sales,21,0,0
EMP-0030,2025-07-01,Sales,20,2,1
EMP-0030,2025-08-01,Sales,23,1,0
EMP-0030,2025-09-01,Sales,22,0,0
EMP-0031,2024-11-01,Customer Service,20,0,2
EMP-0031,2024-12-01,Customer Service,22,0,1
EMP-0031,2025-01-01,Customer Service,20,1,2
EMP-0031,2025-02-01,Customer Service,22,1,0
EMP-0031,2025-03-01,Customer Service,22,0,0
EMP-0031,2025-04-01,Customer Service,22,0,1
EMP-0031,2025-05-01,Customer Service,22,2,1
EMP-0031,2025-06-01,Customer Service,21,0,1
EMP-0031,2025-07-01,Customer Service,21,0,0
EMP-0031,2025-08-01,Customer Service,22,0,1
EMP-0031,2025-09-01,Customer Service,23,0,3
EMP-0032,2024-03-01,Operations,23,1,1
EMP-0032,2024-04-01,Operations,20,3,0
EMP-0032,2024-05-01,Operations,20,3,1
EMP-0032,2024-06-01,Operations,20,0,0
EMP-0032,2024-07-01,Operations,22,2,2
EMP-0032,2024-08-01,Operations,20,2,0
EMP-0032,2024-09-01,Operations,21,3,0
EMP-0032,2024-10-01,Operations,23,1,0
EMP-0032,2024-11-01,Operations,23,1,0
EMP-0032,2024-12-01,Operations,20,2,1
EMP-0032,2025-01-01,Operations,23,0,1
EMP-0032,2025-02-01,Operations,21,1,0
EMP-0032,2025-03-01,Operations,22,2,1
EMP-0032,2025-04-01,Operations,22,3,3
EMP-0032,2025-05-01,Operations,21,1,1
EMP-0032,2025-06-01,Operations,21,2,1
EMP-0033,2024-02-01,Operations,22,0,3
EMP-0033,2024-03-01,Operations,20,0,0
EMP-0033,2024-04-01,Operations,20,0,0
EMP-0033,2024-05-01,Operations,21,0,1
EMP-0033,2024-06-01,Operations,20,0,0
EMP-0033,2024-07-01,Operations,22,3,0
EMP-0033,2024-08-01,Operations,22,1,1
EMP-0033,2024-09-01,Operations,20,0,1
EMP-0033,2024-10-01,Operations,23,0,1
EMP-0033,2024-11-01,Operations,22,0,2
EMP-0033,2024-12-01,Operations,20,0,0
EMP-0033,2025-01-01,Operations,22,2,1
EMP-0033,2025-02-01,Operations,23,0,0
EMP-0033,2025-03-01,Operations,20,3,3
EMP-0033,2025-04-01,Operations,21,0,0
EMP-0033,2025-05-01,Operations,20,0,2
EMP-0033,2025-06-01,Operations,21,0,0
EMP-0033,2025-07-01,Operations,21,0,1
EMP-0033,2025-08-01,Operations,20,0,0
EMP-0033,2025-09-01,Operations,22,0,0
EMP-0033,2025-10-01,Operations,20,0,1
EMP-0033,2025-11-01,Operations,20,1,1
EMP-0033,2025-12-01,Operations,23,0,0
EMP-0034,2025-03-01,Marketing,20,0,0
EMP-0034,2025-04-01,Marketing,22,1,1
EMP-0034,2025-05-01,Marketing,20,1,1
EMP-0034,2025-06-01,Marketing,20,1,1
EMP-0034,2025-07-01,Marketing,20,1,0
EMP-0034,2025-08-01,Marketing,22,1,0
EMP-0034,2025-09-01,Marketing,20,2,0
EMP-0034,2025-10-01,Marketing,22,3,0
EMP-0034,2025-11-01,Marketing,20,0,2
EMP-0034,2025-12-01,Marketing,22,1,0
EMP-0035,2025-03-01,Operations,20,1,1
EMP-0035,2025-04-01,Operations,21,1,3
EMP-0035,2025-05-01,Operations,20,1,2
EMP-0035,2025-06-01,Operations,22,1,0
EMP-0035,2025-07-01,Operations,21,0,1
EMP-0035,2025-08-01,Operations,22,1,0
EMP-0035,2025-09-01,Operations,23,0,0
EMP-0035,2025-10-01,Operations,20,2,0
EMP-0035,2025-11-01,Operations,20,1,0
EMP-0035,2025-12-01,Operations,21,0,1
EMP-0036,2025-02-01,Human Resources,22,1,0
EMP-0036,2025-03-01,Human Resources,21,1,1
EMP-0036,2025-04-01,Human Resources,23,1,2
EMP-0036,2025-05-01,Human Resources,22,0,0
EMP-0036,2025-06-01,Human Resources,23,0,0
EMP-0036,2025-07-01,Human Resources,21,0,1
EMP-0036,2025-08-01,Human Resources,20,0,0
EMP-0036,2025-09-01,Human Resources,23,1,3
EMP-0036,2025-10-01,Human Resources,22,1,1
EMP-0036,2025-11-01,Human Resources,20,0,0
EMP-0036,2025-12-01,Human Resources,21,0,0
EMP-0037,2024-01-01,Customer Service,20,1,1
EMP-0037,2024-02-01,Customer Service,20,2,1
EMP-0037,2024-03-01,Customer Service,21,1,0
EMP-0037,2024-04-01,Customer Service,23,1,1
EMP-0037,2024-05-01,Customer Service,21,0,2
EMP-0037,2024-06-01,Customer Service,21,1,0
EMP-0037,2024-07-01,Customer Service,22,0,1
EMP-0037,2024-08-01,Customer Service,21,0,1
EMP-0037,2024-09-01,Customer Service,21,1,1
EMP-0037,2024-10-01,Customer Service,21,1,2
EMP-0037,2024-11-01,Customer Service,21,1,0
EMP-0037,2024-12-01,Customer Service,20,1,3
EMP-0037,2025-01-01,Customer Service,21,0,2
EMP-0037,2025-02-01,Customer Service,21,2,1
EMP-0037,2025-03-01,Customer Service,22,0,0
EMP-0037,2025-04-01,Customer Service,20,0,3
EMP-0037,2025-05-01,Customer Service,21,1,2
EMP-0037,2025-06-01,Customer Service,21,0,1
EMP-0037,2025-07-01,Customer Service,22,1,2
EMP-0037,2025-08-01,Customer Service,22,0,0
EMP-0037,2025-09-01,Customer Service,20,1,0
EMP-0037,2025-10-01,Customer Service,22,1,0
EMP-0037,2025-11-01,Customer Service,23,0,1
EMP-0037,2025-12-01,Customer Service,21,1,2
EMP-0038,2025-09-01,Sales,22,2,0
EMP-0038,2025-10-01,Sales,22,0,0
EMP-0038,2025-11-01,Sales,23,0,1
EMP-0038,2025-12-01,Sales,21,0,3
EMP-0039,2025-07-01,Customer Service,22,0,0
EMP-0039,2025-08-01,Customer Service,20,0,2
EMP-0039,2025-09-01,Customer Service,23,0,0
EMP-0039,2025-10-01,Customer Service,22,1,2
EMP-0039,2025-11-01,Customer Service,23,0,1
EMP-0039,2025-12-01,Customer Service,21,1,1
EMP-0040,2025-05-01,Human Resources,22,0,0
EMP-0040,2025-06-01,Human Resources,20,1,1
EMP-0040,2025-07-01,Human Resources,20,0,0
EMP-0040,2025-08-01,Human Resources,22,1,1
EMP-0040,2025-09-01,Human Resources,21,0,0
EMP-0040,2025-10-01,Human Resources,22,0,2
EMP-0040,2025-11-01,Human Resources,21,0,2
EMP-0040,2025-12-01,Human Resources,22,0,2
EMP-0041,2025-01-01,Sales,22,0,2
EMP-0041,2025-02-01,Sales,21,2,1
EMP-0041,2025-03-01,Sales,21,0,2
EMP-0041,2025-04-01,Sales,20,0,0
EMP-0041,2025-05-01,Sales,23,0,2
EMP-0041,2025-06-01,Sales,23,0,0
EMP-0041,2025-07-01,Sales,22,1,2
EMP-0041,2025-08-01,Sales,20,0,0
EMP-0041,2025-09-01,Sales,21,0,4
EMP-0042,2024-12-01,Finance,22,0,0
EMP-0042,2025-01-01,Finance,22,1,0
EMP-0042,2025-02-01,Finance,20,1,1
EMP-0042,2025-03-01,Finance,20,2,1
EMP-0042,2025-04-01,Finance,23,2,1
EMP-0042,2025-05-01,Finance,23,2,1
EMP-0042,2025-06-01,Finance,23,1,2
EMP-0042,2025-07-01,Finance,22,0,1
EMP-0042,2025-08-01,Finance,23,0,1
EMP-0042,2025-09-01,Finance,22,0,0
EMP-0042,2025-10-01,Finance,21,1,0
EMP-0042,2025-11-01,Finance,22,0,2
EMP-0042,2025-12-01,Finance,21,0,1
EMP-0043,2024-01-01,Finance,22,1,1
EMP-0043,2024-02-01,Finance,21,0,0
EMP-0043,2024-03-01,Finance,23,0,0
EMP-0043,2024-04-01,Finance,21,2,0
EMP-0043,2024-05-01,Finance,23,1,3
EMP-0043,2024-06-01,Finance,20,1,1
EMP-0043,2024-07-01,Finance,20,0,1
EMP-0043,2024-08-01,Finance,22,0,2
EMP-0043,2024-09-01,Finance,23,1,1
EMP-0043,2024-10-01,Finance,23,0,2
EMP-0043,2024-11-01,Finance,23,0,1
EMP-0043,2024-12-01,Finance,22,1,2
EMP-0043,2025-01-01,Finance,23,0,2
EMP-0043,2025-02-01,Finance,21,1,0
EMP-0043,2025-03-01,Finance,22,0,1
EMP-0043,2025-04-01,Finance,20,1,0
EMP-0043,2025-05-01,Finance,22,0,2
EMP-0043,2025-06-01,Finance,23,0,1
EMP-0043,2025-07-01,Finance,22,0,0
EMP-0043,2025-08-01,Finance,22,0,0
EMP-0043,2025-09-01,Finance,20,1,2
EMP-0043,2025-10-01,Finance,23,1,0
EMP-0043,2025-11-01,Finance,20,0,1
EMP-0043,2025-12-01,Finance,20,1,0
EMP-0044,2025-05-01,Operations,23,0,3
EMP-0044,2025-06-01,Operations,21,1,0
EMP-0044,2025-07-01,Operations,22,1,0
EMP-0044,2025-08-01,Operations,23,0,1
EMP-0045,2024-01-01,Operations,21,1,1
EMP-0045,2024-02-01,Operations,20,1,0
EMP-0045,2024-03-01,Operations,20,2,0
EMP-0045,2024-04-01,Operations,22,1,2
EMP-0045,2024-05-01,Operations,21,2,2
EMP-0045,2024-06-01,Operations,20,3,0
EMP-0045,2024-07-01,Operations,23,2,0
EMP-0045,2024-08-01,Operations,20,0,0
EMP-0045,2024-09-01,Operations,22,1,2
EMP-0045,2024-10-01,Operations,23,2,2
EMP-0045,2024-11-01,Operations,20,0,0
EMP-0045,2024-12-01,Operations,22,0,5
EMP-0045,2025-01-01,Operations,20,0,1
EMP-0045,2025-02-01,Operations,22,2,1
EMP-0045,2025-03-01,Operations,23,1,4
EMP-0045,2025-04-01,Operations,22,1,0
EMP-0045,2025-05-01,Operations,21,2,1
EMP-0045,2025-06-01,Operations,20,2,2
EMP-0045,2025-07-01,Operations,22,3,0
EMP-0045,2025-08-01,Operations,20,1,0
EMP-0045,2025-09-01,Operations,20,1,0
EMP-0045,2025-10-01,Operations,20,1,3
EMP-0045,2025-11-01,Operations,20,1,2
EMP-0045,2025-12-01,Operations,21,1,0
EMP-0046,2024-03-01,IT & Data,23,1,0
EMP-0046,2024-04-01,IT & Data,21,1,0
EMP-0046,2024-05-01,IT & Data,23,1,2
EMP-0046,2024-06-01,IT & Data,20,2,0
EMP-0046,2024-07-01,IT & Data,21,2,1
EMP-0046,2024-08-01,IT & Data,23,2,2
EMP-0046,2024-09-01,IT & Data,23,0,1
EMP-0046,2024-10-01,IT & Data,23,0,1
EMP-0046,2024-11-01,IT & Data,20,0,0
EMP-0046,2024-12-01,IT & Data,21,0,0
EMP-0046,2025-01-01,IT & Data,22,0,1
EMP-0046,2025-02-01,IT & Data,20,0,2
EMP-0046,2025-03-01,IT & Data,21,0,0
EMP-0046,2025-04-01,IT & Data,21,0,0
EMP-0046,2025-05-01,IT & Data,20,0,3
EMP-0046,2025-06-01,IT & Data,20,0,1
EMP-0046,2025-07-01,IT & Data,21,1,1
EMP-0046,2025-08-01,IT & Data,23,1,1
EMP-0046,2025-09-01,IT & Data,20,1,2
EMP-0046,2025-10-01,IT & Data,20,0,1
EMP-0046,2025-11-01,IT & Data,21,2,0
EMP-0046,2025-12-01,IT & Data,20,0,0
EMP-0047,2025-02-01,Human Resources,21,0,1
EMP-0047,2025-03-01,Human Resources,21,0,2
EMP-0047,2025-04-01,Human Resources,20,0,0
EMP-0047,2025-05-01,Human Resources,22,0,0
EMP-0047,2025-06-01,Human Resources,21,0,0
EMP-0047,2025-07-01,Human Resources,20,0,2
EMP-0047,2025-08-01,Human Resources,21,0,1
EMP-0047,2025-09-01,Human Resources,21,0,0
EMP-0047,2025-10-01,Human Resources,22,1,1
EMP-0047,2025-11-01,Human Resources,20,1,1
EMP-0047,2025-12-01,Human Resources,21,2,2
EMP-0048,2025-03-01,Sales,23,1,0
EMP-0048,2025-04-01,Sales,22,0,0
EMP-0048,2025-05-01,Sales,22,0,0
EMP-0048,2025-06-01,Sales,22,0,2
EMP-0048,2025-07-01,Sales,22,0,2
EMP-0048,2025-08-01,Sales,20,0,1
EMP-0048,2025-09-01,Sales,22,0,0
EMP-0048,2025-10-01,Sales,21,1,1
EMP-0048,2025-11-01,Sales,22,1,1
EMP-0048,2025-12-01,Sales,22,1,2
EMP-0049,2025-09-01,Marketing,22,2,2
EMP-0049,2025-10-01,Marketing,23,0,2
EMP-0049,2025-11-01,Marketing,21,1,0
EMP-0049,2025-12-01,Marketing,22,2,0
EMP-0050,2025-08-01,Sales,22,0,0
EMP-0050,2025-09-01,Sales,23,0,1
EMP-0050,2025-10-01,Sales,20,1,1
EMP-0050,2025-11-01,Sales,23,1,1
EMP-0050,2025-12-01,Sales,22,0,1
EMP-0051,2025-03-01,Marketing,23,1,3
EMP-0051,2025-04-01,Marketing,21,2,0
EMP-0051,2025-05-01,Marketing,23,0,0
EMP-0051,2025-06-01,Marketing,22,0,0
EMP-0051,2025-07-01,Marketing,20,0,0
EMP-0051,2025-08-01,Marketing,21,0,2
EMP-0051,2025-09-01,Marketing,23,0,2
EMP-0051,2025-10-01,Marketing,21,1,1
EMP-0051,2025-11-01,Marketing,20,0,1
EMP-0051,2025-12-01,Marketing,23,0,0
EMP-0052,2024-09-01,Finance,20,2,1
EMP-0052,2024-10-01,Finance,21,1,4
EMP-0052,2024-11-01,Finance,22,1,3
EMP-0052,2024-12-01,Finance,23,1,2
EMP-0052,2025-01-01,Finance,20,0,2
EMP-0052,2025-02-01,Finance,21,0,0
EMP-0052,2025-03-01,Finance,20,1,0
EMP-0052,2025-04-01,Finance,20,1,0
EMP-0052,2025-05-01,Finance,22,1,0
EMP-0052,2025-06-01,Finance,22,0,0
EMP-0052,2025-07-01,Finance,23,0,0
EMP-0052,2025-08-01,Finance,21,0,1
EMP-0052,2025-09-01,Finance,23,0,1
EMP-0052,2025-10-01,Finance,22,0,0
EMP-0052,2025-11-01,Finance,21,0,1
EMP-0052,2025-12-01,Finance,21,0,0
EMP-0053,2024-07-01,Operations,22,1,0
EMP-0053,2024-08-01,Operations,23,0,1
EMP-0053,2024-09-01,Operations,23,0,1
EMP-0053,2024-10-01,Operations,23,0,0
EMP-0053,2024-11-01,Operations,22,0,2
EMP-0053,2024-12-01,Operations,23,0,0
