month,department,requisitions,applicants,interviews,offers,hires
2025-08-01,Sales,11,256,43,15,11
2025-08-01,Operations,8,239,44,21,16
2025-08-01,Customer Service,8,217,42,15,11
2025-08-01,Finance,4,76,10,3,2
2025-08-01,Human Resources,1,29,3,1,0
2025-08-01,IT & Data,4,120,23,8,5
2025-08-01,Marketing,5,131,22,10,7
2025-09-01,Sales,9,288,57,22,17
2025-09-01,Operations,11,237,29,11,7
2025-09-01,Customer Service,6,194,38,15,12
2025-09-01,Finance,7,154,18,6,4
2025-09-01,Human Resources,5,117,23,11,9
2025-09-01,IT & Data,5,120,17,7,5
2025-09-01,Marketing,6,160,24,11,8
2025-10-01,Sales,9,164,23,9,6
2025-10-01,Operations,8,267,38,14,9
2025-10-01,Customer Service,8,202,37,15,12
2025-10-01,Finance,5,114,16,7,5
2025-10-01,Human Resources,3,66,12,4,3
2025-10-01,IT & Data,5,144,21,10,7
2025-10-01,Marketing,6,150,23,9,7
2025-11-01,Sales,7,179,23,11,7
2025-11-01,Operations,7,202,38,19,13
2025-11-01,Customer Service,9,183,36,17,12
2025-11-01,Finance,3,56,8,2,1
2025-11-01,Human Resources,2,47,6,2,1
2025-11-01,IT & Data,5,125,15,5,3
2025-11-01,Marketing,4,81,13,4,2
2025-12-01,Sales,10,292,45,18,14
2025-12-01,Operations,7,236,44,21,15
2025-12-01,Customer Service,6,110,17,6,4
2025-12-01,Finance,7,229,30,14,11
2025-12-01,Human Resources,7,167,29,14,12
2025-12-01,IT & Data,9,253,47,23,17
2025-12-01,Marketing,7,154,19,6,4
